year,session,utt_id,status,semantic_equal,byte_equal,final_path,regenerated_path,final_sha256,regenerated_sha256
2025,SDRW2500000528,SDRW2500000528.1.1.189,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SDRW2500000528\SDRW2500000528.1.1.189.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2025\2025\SDRW2500000528\SDRW2500000528.1.1.189.TextGrid,95a2cd2c69306a78bbff65abf3ea640b3380f5994b5894cbf372c903fc9c68a3,95a2cd2c69306a78bbff65abf3ea640b3380f5994b5894cbf372c903fc9c68a3
2025,SARW2500000304,SARW2500000304.1.1.97,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SARW2500000304\SARW2500000304.1.1.97.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2025\2025\SARW2500000304\SARW2500000304.1.1.97.TextGrid,de92684c0191491cc78729b3780d438a42a0ccc13b10048a2283c96f435a52a3,de92684c0191491cc78729b3780d438a42a0ccc13b10048a2283c96f435a52a3
2025,SDRW2500002278,SDRW2500002278.1.1.11,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SDRW2500002278\SDRW2500002278.1.1.11.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2025\2025\SDRW2500002278\SDRW2500002278.1.1.11.TextGrid,e3110f97f452bb821d02e8428c06c2f669f0bb35cd806a5ada5afc142d840dd3,e3110f97f452bb821d02e8428c06c2f669f0bb35cd806a5ada5afc142d840dd3
2025,SDRW2500001982,SDRW2500001982.1.1.203,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SDRW2500001982\SDRW2500001982.1.1.203.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2025\2025\SDRW2500001982\SDRW2500001982.1.1.203.TextGrid,a3fbfe41de97f5692186020ff65f855b1373d116b85257d06c81b43c496f56c8,a3fbfe41de97f5692186020ff65f855b1373d116b85257d06c81b43c496f56c8
2025,SDRW2500001406,SDRW2500001406.1.1.113,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SDRW2500001406\SDRW2500001406.1.1.113.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2025\2025\SDRW2500001406\SDRW2500001406.1.1.113.TextGrid,c228f0a240d1b0b7f6bfff3f4a38bcad63dd6a62350ccf7952660c3392825aee,c228f0a240d1b0b7f6bfff3f4a38bcad63dd6a62350ccf7952660c3392825aee
2025,SARW2500000174,SARW2500000174.1.1.77,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SARW2500000174\SARW2500000174.1.1.77.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2025\2025\SARW2500000174\SARW2500000174.1.1.77.TextGrid,4c052ffc2ddd34d57ec6dddfca1307a35961ca630f1fab7f76e21683d2ce59da,4c052ffc2ddd34d57ec6dddfca1307a35961ca630f1fab7f76e21683d2ce59da
2025,SARW2500000634,SARW2500000634.1.1.55,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SARW2500000634\SARW2500000634.1.1.55.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2025\2025\SARW2500000634\SARW2500000634.1.1.55.TextGrid,bd7b3370dcdc77c4839ef7727946ff95c016d346621a608971d860735ed0444a,bd7b3370dcdc77c4839ef7727946ff95c016d346621a608971d860735ed0444a
2025,SDRW2500001029,SDRW2500001029.1.1.10,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SDRW2500001029\SDRW2500001029.1.1.10.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2025\2025\SDRW2500001029\SDRW2500001029.1.1.10.TextGrid,421e1dd37723ad2c1f08cb5757627c61051b3088366bbfbd88442e0a9eba014f,421e1dd37723ad2c1f08cb5757627c61051b3088366bbfbd88442e0a9eba014f
2025,SDRW2500000369,SDRW2500000369.1.1.169,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SDRW2500000369\SDRW2500000369.1.1.169.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2025\2025\SDRW2500000369\SDRW2500000369.1.1.169.TextGrid,eac2b27354c20dde84dc3ebd29f1cdaceb577660f50e2b01cc608ea30687383a,eac2b27354c20dde84dc3ebd29f1cdaceb577660f50e2b01cc608ea30687383a
2025,SDRW2500002027,SDRW2500002027.1.1.100,exact_match,true,true,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\research_6tier\2025\SDRW2500002027\SDRW2500002027.1.1.100.TextGrid,D:\mfa_eojeol\r3\common_pron_mfa_r3_20260809\qc_scratch\2025\2025\SDRW2500002027\SDRW2500002027.1.1.100.TextGrid,7069384af3fac27d7902f62b1d792d39caa66ffa6db0e9c120092378b7bf4971,7069384af3fac27d7902f62b1d792d39caa66ffa6db0e9c120092378b7bf4971
